lr,batch_size,last_train_loss,optimizer
1e-05,32,0.10251883533783257,Adam
1e-05,32,0.09675735833588987,RMSprop
1e-05,32,0.09663787230383605,SGD
1e-05,64,0.10343059236183763,Adam
1e-05,64,0.0998415713198483,RMSprop
1e-05,64,0.09954496268182993,SGD
1e-05,128,0.10487796608358621,Adam
1e-05,128,0.09914346113801002,RMSprop
1e-05,128,0.09915771149098873,SGD
1e-05,256,0.11454287953674794,Adam
1e-05,256,0.10498634986579418,RMSprop
1e-05,256,0.1050101701170206,SGD
0.0001,32,0.07087356981355697,Adam
0.0001,32,0.04641914322855882,RMSprop
0.0001,32,0.0439416115405038,SGD
0.0001,64,0.056709484895691276,Adam
0.0001,64,0.029875243734568357,RMSprop
0.0001,64,0.02847470701672137,SGD
0.0001,128,0.08438019398599864,Adam
0.0001,128,0.06084346892312169,RMSprop
0.0001,128,0.05974920121952891,SGD
0.0001,256,0.08516737595200538,Adam
0.0001,256,0.06076038870960474,RMSprop
0.0001,256,0.0600142776966095,SGD
0.001,32,0.01887622094654944,Adam
0.001,32,0.01928720710275229,RMSprop
0.001,32,0.010552049150282983,SGD
0.001,64,0.018887945811729877,Adam
0.001,64,0.01796187743311748,RMSprop
0.001,64,0.011486044744378887,SGD
0.001,128,0.019689014507457615,Adam
0.001,128,0.024133751122280955,RMSprop
0.001,128,0.015600424003787338,SGD
0.001,256,0.021315259486436845,Adam
0.001,256,0.024025472905486824,RMSprop
0.001,256,0.017902477690950037,SGD
0.01,32,0.02885687484231312,Adam
0.01,32,0.11443155545275659,RMSprop
0.01,32,0.11313278269954026,SGD
0.01,64,0.03351429873146117,Adam
0.01,64,0.0411319246282801,RMSprop
0.01,64,0.01952365613542497,SGD
0.01,128,0.03061003386974335,Adam
0.01,128,0.08558037960901857,RMSprop
0.01,128,0.07785489028319717,SGD
0.01,256,0.014184210076928138,Adam
0.01,256,0.6288980007171631,RMSprop
0.01,256,0.6289945274591446,SGD
0.1,32,0.707500509172678,Adam
0.1,32,0.7083306081593037,RMSprop
0.1,32,0.7099103387445211,SGD
0.1,64,0.7079801075160503,Adam
0.1,64,0.7080450557172299,RMSprop
0.1,64,0.7079901769757271,SGD
0.1,128,0.7077028557658196,Adam
0.1,128,0.708566264808178,RMSprop
0.1,128,0.707960507273674,SGD
0.1,256,0.44481612741947174,Adam
0.1,256,0.4450111985206604,RMSprop
0.1,256,0.44452791661024094,SGD
